real;2Y0A21 F42;2Y0A21 F08
10;10.157878787878788;10.9730303030303
12;12.06615384615384;12.78846153846154
14;13.99434782608696;14.27260869565217
15;14.766410256410248;14.599743589743595
16;15.876999999999995;15.884999999999996
18;17.710869565217386;17.386956521739123
20;19.590952380952377;18.80904761904762
23;22.48000000000001;21.30571428571427
25;24.230285714285724;23.821142857142863
27;25.7368085106383;26.937234042553197
30;28.000606060606067;31.687878787878788
32;28.94454545454546;34.475000000000016
34;30.3621052631579;36.557631578947344
36;31.153636363636355;38.87212121212121
38;31.956333333333355;41.431333333333356
40;32.81879999999998;42.92160000000002
41;33.666176470588226;44.45911764705885
42;33.71884615384616;45.97576923076924
43;34.61868421052632;46.16315789473687
44;34.68157894736842;48.12105263157895
46;35.66208333333332;50.04166666666666
48;36.78666666666666;52.25333333333333
50;37.89350000000001;54.5005
52;39.04593749999999;57.734062499999965
54;39.12285714285714;61.78047619047619
56;40.408636363636376;65.40249999999999
58;40.77324324324324;67.55621621621621
60;41.739062499999996;71.15812499999997
62;41.94454545454546;75.56272727272727
64;44.01333333333333;72.02666666666667
66;44.01037037037036;0.0
68;44.323548387096785;0.0
70;45.71761904761905;0.0
72;45.73399999999999;0.0
74;45.738823529411754;0.0
76;45.75062499999999;0.0
78;47.11333333333334;0.0
80;47.65285714285714;0.0
82;49.618787878787884;0.0
84;51.77166666666667;0.0
86;54.1109090909091;0.0
88;54.24666666666666;0.0
90;56.596451612903216;0.0
95;59.367826086956526;0.0
100;62.704583333333325;0.0
105;63.80757575757576;0.0
110;67.26357142857144;0.0
115;73.83999999999999;0.0
120;74.3856;0.0
125;79.02692307692307;0.0
130;0.0;0.0
